    528.34      241.68        0.68       25.62        0.04        0.03     1358.08
   1166.99      294.99        0.68       32.25        0.02        0.02     2999.71
   2105.86      351.79        0.73       33.87        0.01        0.01     5413.07
    205.27      511.05        1.26       20.36        0.14        0.13      527.64
   1833.50      609.61        0.80       29.94        0.01        0.01     4712.98
    177.57      768.87        0.78       13.64        0.07        0.06      456.45
     33.04      786.34        1.06       14.46        0.59        0.34       84.93
     73.69      912.03        0.94       12.50        0.19        0.17      189.42
    124.22      935.13        0.79       12.78        0.09        0.08      319.31
    496.70     1121.33        0.93       17.72        0.04        0.03     1276.77
    220.55     1239.25        1.10       17.99        0.09        0.08      566.91
    142.85     1378.86        0.99       11.15        0.09        0.07      367.20
   1655.49     1462.25        1.11       26.79        0.02        0.02     4255.42
     68.96     1510.72        0.97        8.71        0.12        0.16      177.27
     40.48     1663.43        1.39        6.75        0.32        0.35      104.05
    139.18     1731.38        1.22        8.58        0.08        0.07      357.75
    553.36     1766.31        1.14       15.86        0.04        0.03     1422.39
     99.45     1849.52        1.26        7.95        0.11        0.09      255.64
     31.96     2105.25        1.63        6.89        0.39        0.30       82.16
     43.81     2120.64        1.01        5.23        0.13        0.14      112.62
    180.74     2206.44        1.30        9.26        0.07        0.06      464.60
     49.89     2450.45        1.38        5.72        0.18        0.15      128.25
    404.79     2617.46        1.51       14.83        0.06        0.05     1040.50
