    449.74      240.66        0.58       31.43        0.04        0.04     1157.53
   1236.38      294.00        0.67       32.68        0.02        0.02     3182.17
   2165.49      350.76        0.70       34.23        0.01        0.01     5573.52
    322.57      511.54        2.57      218.91        1.95        1.02      830.23
   1900.93      608.21        0.78       30.29        0.01        0.01     4892.60
    172.58      767.42        0.93       14.73        0.08        0.10      444.19
     44.37      784.86        0.66       10.51        0.20        0.16      114.20
     99.92      910.32        1.07       12.23        0.15        0.13      257.17
    115.01      933.19        0.82       12.37        0.10        0.10      296.02
    515.08     1119.18        0.93       18.51        0.04        0.03     1325.70
    193.94     1237.16        1.08       15.33        0.10        0.08      499.16
    169.62     1376.41        1.06       20.11        0.15        0.10      436.56
   1667.82     1459.73        1.05       27.31        0.02        0.01     4292.63
     74.21     1507.94        0.94        9.19        0.13        0.11      191.00
     49.56     1660.04        1.31        7.53        0.21        0.21      127.56
    129.98     1728.41        1.11        9.50        0.09        0.07      334.54
    611.06     1763.34        1.16       19.93        0.04        0.03     1572.73
     83.33     1846.37        1.10       10.27        0.15        0.14      214.48
     37.40     2102.35        1.40        7.30        0.36        0.23       96.25
     54.52     2117.21        1.26        8.30        0.22        0.17      140.33
    199.77     2202.81        1.22        9.56        0.06        0.06      514.17
     49.69     2446.54        1.44        5.51        0.19        0.17      127.90
    389.82     2613.27        1.42       13.20        0.05        0.04     1003.32
