    621.68      241.68        0.71       29.50        0.04        0.03     1598.02
   1380.29      294.97        0.67       33.63        0.02        0.02     3548.00
   2445.64      351.77        0.71       36.14        0.01        0.01     6286.47
    257.67      511.08        1.66       30.20        0.20        0.21      662.32
   2027.36      609.54        0.77       31.11        0.01        0.01     5211.30
    221.55      768.77        0.88       15.31        0.07        0.06      569.50
     75.10      786.04        0.79       20.45        0.21        0.19      193.05
     87.68      911.92        0.91       12.44        0.14        0.14      225.38
    131.34      934.69        1.01       17.70        0.14        0.16      337.60
    604.15     1121.14        0.98       19.15        0.03        0.03     1552.96
    273.07     1239.17        1.12       18.19        0.08        0.07      701.91
    169.39     1378.72        1.02       12.11        0.08        0.07      435.41
   1668.57     1462.07        1.08       27.19        0.02        0.02     4289.03
     97.41     1510.43        1.18        9.98        0.13        0.12      250.39
     57.17     1662.68        1.27        7.53        0.19        0.16      146.95
    153.05     1731.03        1.25        9.06        0.08        0.07      393.40
    662.41     1766.06        1.14       17.21        0.03        0.02     1702.71
    104.78     1849.01        1.10        7.76        0.09        0.08      269.33
     45.80     2105.67        1.71        7.84        0.33        0.23      117.72
     52.08     2120.49        1.29        6.05        0.17        0.16      133.86
    208.01     2206.15        1.33       10.06        0.07        0.05      534.67
     44.27     2450.26        1.17        5.02        0.15        0.12      113.80
    397.15     2617.08        1.49       15.25        0.06        0.05     1020.87
