3812175.65000        2.42304       -0.00737             1.00003         43200.65000        0.05193                  0.01309             0.00002
3898571.60000        2.37834       -0.02087             1.00004         43200.60000        0.05172                  0.01343             0.00002
3984968.65000        2.37134        0.02781             0.99997         43200.65000        0.05374                  0.01335             0.00002
4071364.70000        2.46750        0.00995             1.00003         43200.70000        0.06410                  0.01282             0.00002
4157760.75000        2.37671       -0.04735             1.00007         43200.75000        0.05676                  0.01249             0.00002
4239601.25000        2.40735        0.01064             0.99999         38644.25000        0.05162                  0.01314             0.00002
4284312.65000        2.45344       -0.13946             1.00035          6059.65000        0.05767                  0.03853             0.00007
4333578.70000        2.26673        0.16540             0.99965         43200.70000        0.26944                  0.01296             0.00002
4509420.75000        2.41366        0.03534             0.99992         43200.75000        0.06001                  0.01275             0.00002
4595817.95000        2.49833       -0.00289             1.00003         43200.95000        0.05595                  0.01304             0.00002
4682214.75000        2.48551       -0.01157             1.00004         43200.75000        0.05659                  0.01289             0.00002
4768610.75000        2.48033       -0.01771             1.00004         43200.75000        0.05515                  0.01296             0.00002
4855007.75000        2.54524        0.02352             0.99997         43200.75000        0.05537                  0.01263             0.00002
4941403.75000        2.39558        0.00467             1.00003         43200.75000        0.05548                  0.01309             0.00002
5027811.70000        2.50690       -0.03764             0.99999         43200.70000        0.06231                  0.01316             0.00002
