    580.83      240.82        0.71       40.90        0.05        0.04     1494.85
   1233.10      294.01        0.67       32.91        0.02        0.02     3173.55
   2321.25      350.76        0.71       35.45        0.01        0.01     5974.06
    214.42      510.24        1.28       23.49        0.15        0.15      551.83
   1939.37      608.21        0.79       30.62        0.01        0.01     4991.23
    175.76      767.32        0.84       14.47        0.07        0.09      452.35
     59.65      785.24        1.05       15.63        0.30        0.26      153.52
     83.84      910.40        1.05       11.99        0.17        0.16      215.78
    106.84      933.18        0.70       11.13        0.09        0.08      274.96
    561.44     1119.28        1.02       19.79        0.04        0.04     1444.95
    235.64     1237.07        1.02       15.20        0.07        0.06      606.44
    185.45     1376.23        1.05       31.93        0.20        0.11      477.28
   1676.19     1459.73        1.09       27.53        0.02        0.02     4313.92
     71.91     1508.43        0.85        8.19        0.11        0.08      185.06
     43.57     1660.16        1.10        6.36        0.18        0.15      112.15
    165.61     1728.32        1.21        9.50        0.08        0.06      426.23
    630.74     1763.35        1.28       20.18        0.05        0.04     1623.29
     88.61     1846.05        1.20       13.49        0.21        0.14      228.04
     35.70     2102.12        1.46        7.09        0.33        0.26       91.89
     45.62     2117.32        1.23        6.02        0.18        0.15      117.40
    212.21     2202.72        1.31        9.84        0.07        0.05      546.15
     49.91     2446.39        1.29        5.21        0.16        0.11      128.45
    409.27     2613.29        1.47       14.04        0.06        0.04     1053.31
