    581.93      241.65        0.71       28.97        0.04        0.03     1495.83
   1264.40      294.94        0.68       32.88        0.02        0.02     3250.11
   2318.83      351.77        0.71       35.30        0.01        0.01     5960.50
    214.16      511.45        1.28       23.40        0.15        0.15      550.50
   1939.21      609.54        0.79       30.65        0.01        0.01     4984.69
    177.89      768.84        0.85       15.83        0.08        0.09      457.26
     76.35      786.36        1.19       52.07        0.59        0.50      196.25
     96.30      911.90        1.17       14.28        0.20        0.18      247.55
    105.64      934.85        0.69       11.64        0.09        0.08      271.55
    552.25     1121.23        1.00       18.49        0.04        0.03     1419.55
    244.72     1239.16        1.05       17.31        0.08        0.07      629.06
    182.37     1378.61        1.06       12.11        0.08        0.07      468.79
   1677.70     1462.10        1.09       27.15        0.02        0.02     4312.49
     87.47     1510.74        0.99        8.36        0.10        0.10      224.85
     44.50     1662.79        1.12        6.27        0.18        0.15      114.39
    158.88     1731.01        1.16        8.68        0.07        0.05      408.40
    600.48     1766.13        1.22       16.91        0.04        0.03     1543.51
     83.96     1848.96        1.17        7.21        0.11        0.09      215.82
     36.09     2105.30        1.47        6.61        0.30        0.24       92.76
     45.91     2120.52        1.23        5.42        0.16        0.14      118.00
    208.37     2206.04        1.28       10.01        0.07        0.05      535.62
     50.25     2449.97        1.29        5.37        0.16        0.11      129.16
    404.63     2617.09        1.45       14.85        0.06        0.05     1040.10
