 1.03437   0.01471
 1.04211   0.01477
 1.01594   0.01502
 1.04598   0.01526
 1.03758   0.01554
 1.05540   0.01551
 1.04410   0.01497
 1.02966   0.01520
 1.04830   0.01525
 1.06108   0.01551
 1.02760   0.01497
 1.06769   0.01713
 1.07065   0.01566
 1.07133   0.01531
 1.05543   0.01542
 1.06639   0.01806
 1.06685   0.01551
 1.08375   0.01513
 1.06088   0.01506
 1.07182   0.01535
 1.05002   0.01573
 1.05639   0.01777
 1.04608   0.01572
 1.04736   0.02168
 1.02889   0.02205
 1.00991   0.02196
 1.00694   0.02282
 1.04777   0.02722
 1.00922   0.02410
 1.02223   0.02192
 1.04180   0.02449
 0.96252   0.11441
 1.02491   0.02548
 1.06086   0.02376
 1.05542   0.02403
 1.05322   0.02342
 1.08078   0.02351
 1.01723   0.02356
 1.06450   0.02646
 1.05220   0.02721
 1.04752   0.02649
 1.06086   0.02472
 1.04221   0.02585
 1.10019   0.02737
 1.05829   0.02647
 1.04628   0.02379
 1.06345   0.02756
 1.05835   0.02645
 1.03844   0.02602
 1.03477   0.02726
 1.05136   0.02695
 1.06233   0.02778
 1.04119   0.02948
 1.04556   0.03123
 1.02370   0.02847
 1.03495   0.03018
 1.07918   0.02744
 1.07760   0.02655
 1.25531   0.05267
 1.06968   0.03040
 1.09023   0.02955
 1.10860   0.03086
 1.10349   0.02869
 1.10404   0.02607
 1.05851   0.02542
 1.11350   0.02772
 1.07442   0.02720
 1.10822   0.03060
 1.10217   0.02686
 1.10381   0.02721
 1.12389   0.03021
 1.08264   0.02756
 1.10827   0.02802
 1.31178   0.06080
 1.20590   0.04550
 1.09321   0.02933
 1.11832   0.02859
 1.09510   0.02796
 1.11002   0.03337
 1.09396   0.03063
 1.05973   0.02812
