    279.98      242.04        0.77       12.50        0.04        0.03      721.28
    669.76      295.22        0.75       19.38        0.02        0.02     1725.45
   1136.94      351.93        0.77       21.76        0.02        0.01     2928.98
    928.78      609.35        0.86       19.37        0.02        0.01     2392.73
     76.64      768.41        0.93        6.37        0.08        0.09      197.45
     22.33      785.94        0.90        4.27        0.19        0.26       57.54
     44.42      934.11        0.98        4.94        0.13        0.09      114.43
    214.53     1120.31        1.02        9.50        0.05        0.04      552.68
     76.39     1238.10        1.06        6.02        0.09        0.08      196.80
     43.29     1377.55        0.78        4.66        0.09        0.09      111.51
     19.68     1508.92        1.03        3.65        0.21        0.20       50.69
     35.58     1729.25        1.13        4.60        0.17        0.13       91.67
    185.86     1764.26        1.18        9.15        0.06        0.05      478.81
     24.05     1847.27        1.05        3.74        0.20        0.12       61.95
     52.35     2203.72        1.11        5.36        0.13        0.09      134.87
