 242.00	 242.06	  242.12
 295.37	 295.53	  295.95
 352.24	 352.57	  353.27
 511.70	 512.82	  514.17
 610.33	 611.29	  613.29
 769.75	 771.18	  774.08
 787.10	 788.77	  791.88
 913.08	 915.03	  918.31
 935.88	 937.78	  941.46
1122.53	1124.88	 1120.09
1240.71	1243.21	 1248.40
1380.46	1383.23	 1389.17
1463.92	1466.98	 1174.00
1512.26	1515.85	 1521.88
1664.82	1668.44	 1675.47
1733.14	1736.89	 1744.51
1768.23	1772.13	 1779.92
1851.34	1855.27	 1854.79
2108.22	2112.62	 2111.18
2123.17	2127.86	 2137.26
2208.90	2213.62	 2206.08
2453.29	2458.47	 2457.59
2620.31	2626.20	 2638.27
