517.2			283.2		 0.5		 276		289
814.5			 346 		 1.3 		 340 		350
1317.4 		 412.6 	 1.4 		 405.5 	418.8
157 			 599.5 	 1.5 		 589.1 	608.7
1008.3 		 714.7 	 1.5 		 710 		719
144 			 901.6	  1.3 	 895 		905
80 			 1069.3 	  1.0 	 1060 	1080
97 			 1095.4 	  1 		 1085.4 	1101.5
64 			 1136.3 	  1 		 1132		 1143.8
243.8 		 1314 	  2 		 1305.6 	 1323.5
113			 1452.5 	  1.30	  1444 	 1458
85.8 			 1616.2 	  1 		  1610 	 1622
643.5 		 1713.7 	  1.35 	  1705 	 1720
44 			 1769.8 	  1 		  1765	  1775
28 			 1949 	  1 		  1940 	  1955
62.8 			 2029.5 	  1 		  2020	   2034
214.2 		 2069.7	   2 		  2058.5 	   2081.2
32 			 2166.4 	   1.2 	  2158.4 	   2175
21 			 2466.2 	   3 		  2457.6 	   2472.8
21 			 249		    0.5 	  2478 	   2494.7
67 			 2585		     1.6 	  2578	    2593
24			  2871 	     1.5 	  2860 	    2880
112			   3066.6 	     2.5 	  3060 	    3073
