    407.16      241.98        0.69       14.93        0.03        0.03     1048.48
    930.97      295.15        0.70       21.49        0.02        0.01     2397.36
   1682.93      351.92        0.74       26.41        0.01        0.01     4333.72
   1297.88      609.36        0.81       22.86        0.01        0.01     3342.18
    122.23      768.39        0.80        7.48        0.05        0.04      314.75
     32.63      785.94        0.93        4.59        0.15        0.12       84.03
     68.98      934.19        0.95        6.12        0.10        0.07      177.64
    319.99     1120.26        1.01       11.58        0.04        0.03      824.01
    128.30     1238.12        1.08        7.76        0.07        0.06      330.39
     85.89     1377.76        1.02        7.02        0.09        0.08      221.17
     41.37     1508.76        1.33        5.13        0.20        0.14      106.53
     11.85     1661.33        0.84        3.07        0.29        0.23       30.51
     65.59     1729.42        1.02        5.56        0.10        0.08      168.90
    299.73     1764.39        1.16       11.21        0.05        0.03      771.84
     30.51     1847.12        0.91        4.01        0.13        0.13       78.58
     78.03     2203.93        1.25        6.73        0.12        0.08      200.94
