   241.995       242    0.0023      0.03
   295.223    295.21    0.0018      0.02
   351.932    351.95    0.0018      0.01
    609.32    609.37     0.005      0.02
    768.36    768.39     0.005      0.06
    785.96    786.21      0.08      0.23
   934.056       934     0.006       0.1
   1120.29   1120.36     0.006      0.04
   1238.12   1238.13     0.007      0.07
    1377.7   1377.69     0.008      0.08
   1509.21   1508.78      0.01      0.21
   1729.59   1729.47     0.011       0.1
   1764.49   1764.44      0.01      0.05
   1847.43   1847.22     0.013      0.13
   2204.06   2203.99     0.022       0.1
