473			251.5		 1.2		 246		256.2
823.4 		308.1 	1.25 		302 		313.2
1155 			367.6 	1.25 		362 		372
145 			531 		1 		521.9 	538
903.6			 636.5 	1.25		 631 		641
131.2 		 799.5 	1.25 		 794 		804.5
81 			 947.3 	0.5 		 943 		953.2
95 			 972.5 	0.75 		 967.3 	977.8
60.9 			 1005.5	 0.5 		 995 		1015
240 			 1166.2 	1.25 		 1157 	1173
117 			 1287.8 	1.6 		 1280		 1294.4
86 			 1433.8 	0.8 		 1427 	 1438.7	
627 			 1519.8 	1.8 		 1512 	 1527
 39 			 1570.8 	1.0 		 1562.4 	 1579
19 			 1728.2 	1.3 		 1721.4 	 1735.5
47 			 1799 	2 		 1791.7 	 1805.4
187.3 		 1835.3 	2 		 1827.6 	 1844.7
37 			 1921.7 	2 		 1915 	 1927.5
17 			 2187 	3 		 2177.7 	 2197.5
20 			 2204 	0.5 		 2195 	 2215
59 			 2292.8 	1.6 		 2283 	 2302
23 			 2547.6 	1.5 		 2538.7	  2555.7
98 			 2721 	2.5 		 2711 	  2725.6
