    466.62      251.73        0.70       35.88        0.06        0.05     1154.19
   1146.32      307.06        0.71       29.98        0.02        0.02     2835.43
   1969.65      366.12        0.73       34.83        0.01        0.01     4871.97
    235.23      531.64        1.61       29.49        0.22        0.20      581.83
   1689.27      634.04        0.82       32.37        0.02        0.01     4178.43
    179.63      799.56        0.82       14.57        0.08        0.06      444.32
     75.66      948.23        0.87       12.53        0.18        0.17      187.14
    142.33      971.96        1.14       18.47        0.15        0.16      352.04
     59.95     1008.47        1.16       22.05        0.38        0.40      148.29
    508.80     1165.88        1.03       17.49        0.04        0.03     1258.53
    198.03     1288.45        0.89       12.54        0.06        0.06      489.83
    175.54     1433.60        1.05       11.99        0.08        0.07      434.19
   1723.73     1520.12        1.12       27.61        0.02        0.02     4263.67
    100.53     1570.63        1.37        9.65        0.15        0.12      248.66
     34.23     1728.73        1.07        6.45        0.21        0.26       84.67
    126.14     1799.63        1.21        8.70        0.09        0.08      312.01
    611.44     1836.11        1.25       16.38        0.04        0.03     1512.42
     92.97     1922.27        1.38        8.60        0.15        0.10      229.97
     43.99     2187.99        1.51        5.71        0.24        0.15      108.82
     49.91     2204.65        1.49        5.77        0.19        0.16      123.46
    172.28     2293.46        1.25        8.99        0.07        0.06      426.14
     58.38     2547.10        1.46        6.08        0.18        0.17      144.40
    442.09     2720.69        1.58       15.55        0.06        0.05     1093.51
